filename,is_target,score,image_name,K,TP_obj,FP_obj,Cum_TP_obj,Cum_FP_obj,Precision_obj_at_K,Cum_TP_img,Cum_FP_img,Precision_img_at_K
50_Or_018_35.651252__-0.604357_04.2025_MediumStandard_267.npy,False,0.68214345,50_Or_018_35.651252__-0.604357_04.2025,144,0,1,79,65,0.5486111111111112,15,8,0.6521739130434783
50_Or_079__35.819171__-0.468544_03.2025_MediumStandard_77.npy,False,0.6815544,50_Or_079__35.819171__-0.468544_03.2025,145,0,1,79,66,0.5448275862068965,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_649.npy,False,0.6809244,50_Or_019_35.652627__-0.592862_06.2020,146,0,1,79,67,0.541095890410959,15,8,0.6521739130434783
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_307.npy,False,0.6774528,50_Or_052__35.710191__-0.636511_06.2020,147,0,1,79,68,0.5374149659863946,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_184.npy,False,0.67628264,50_Or_019_35.652627__-0.592862_06.2020,148,0,1,79,69,0.5337837837837838,15,8,0.6521739130434783
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_41.npy,False,0.6756849,50_Or_047__35.675778__-0.670871_03.2025,149,0,1,79,70,0.5302013422818792,15,8,0.6521739130434783
50_Or_018_35.651252__-0.604357_04.2025_MediumSmall_166.npy,False,0.6707299,50_Or_018_35.651252__-0.604357_04.2025,150,0,1,79,71,0.5266666666666666,15,8,0.6521739130434783
50_Or_025_35.651734__-0.595641_06.2020_MediumSmall_304.npy,False,0.66494507,50_Or_025_35.651734__-0.595641_06.2020,151,0,1,79,72,0.5231788079470199,15,8,0.6521739130434783
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_302.npy,False,0.66354847,50_Or_052__35.710191__-0.636511_06.2020,152,0,1,79,73,0.5197368421052632,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_181.npy,False,0.66244644,50_Or_019_35.652627__-0.592862_06.2020,153,0,1,79,74,0.5163398692810458,15,8,0.6521739130434783
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_306.npy,False,0.6590165,50_Or_052__35.710191__-0.636511_06.2020,154,0,1,79,75,0.512987012987013,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_653.npy,False,0.6570028,50_Or_019_35.652627__-0.592862_06.2020,155,0,1,79,76,0.5096774193548387,15,8,0.6521739130434783
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_40.npy,False,0.6557183,50_Or_047__35.675778__-0.670871_03.2025,156,0,1,79,77,0.5064102564102564,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_179.npy,False,0.6484058,50_Or_019_35.652627__-0.592862_06.2020,157,0,1,79,78,0.5031847133757962,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_656.npy,False,0.6459039,50_Or_019_35.652627__-0.592862_06.2020,158,0,1,79,79,0.5,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_650.npy,False,0.64211905,50_Or_019_35.652627__-0.592862_06.2020,159,0,1,79,80,0.4968553459119497,15,8,0.6521739130434783
50_Or_016_35.653454__-0.602122_04.2023_MediumStandard_600.npy,False,0.64162236,50_Or_016_35.653454__-0.602122_04.2023,160,0,1,79,81,0.49375,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_639.npy,False,0.6365171,50_Or_019_35.652627__-0.592862_06.2020,161,0,1,79,82,0.4906832298136646,15,8,0.6521739130434783
50_Or_071__35.715136__-0.480888_04.2023_MediumStandard_504.npy,False,0.6363589,50_Or_071__35.715136__-0.480888_04.2023,162,0,1,79,83,0.4876543209876543,15,8,0.6521739130434783
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_303.npy,False,0.6361761,50_Or_052__35.710191__-0.636511_06.2020,163,0,1,79,84,0.48466257668711654,15,8,0.6521739130434783
50_Or_006_35.658681__-0.534745_01.2022_MediumStandard_159.npy,False,0.636019,50_Or_006_35.658681__-0.534745_01.2022,164,0,1,79,85,0.4817073170731707,15,8,0.6521739130434783
50_Or_015_35.653454__-0.602122_03.2021_MediumStandard_502.npy,False,0.6321405,50_Or_015_35.653454__-0.602122_03.2021,165,0,1,79,86,0.47878787878787876,15,8,0.6521739130434783
50_Or_015_35.653454__-0.602122_03.2021_MediumSmall_232.npy,False,0.63133776,50_Or_015_35.653454__-0.602122_03.2021,166,0,1,79,87,0.4759036144578313,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_631.npy,False,0.63010967,50_Or_019_35.652627__-0.592862_06.2020,167,0,1,79,88,0.47305389221556887,15,8,0.6521739130434783
50_Or_047__35.675778__-0.670871_03.2025_MediumStandard_181.npy,False,0.6273001,50_Or_047__35.675778__-0.670871_03.2025,168,0,1,79,89,0.47023809523809523,15,8,0.6521739130434783
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_308.npy,False,0.6270762,50_Or_052__35.710191__-0.636511_06.2020,169,0,1,79,90,0.46745562130177515,15,8,0.6521739130434783
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_524.npy,False,0.62398934,50_Or_098__35.913750__0.147933__11.2021,170,0,1,79,91,0.4647058823529412,15,8,0.6521739130434783
50_Or_018_35.651252__-0.604357_04.2025_MediumStandard_260.npy,False,0.6227047,50_Or_018_35.651252__-0.604357_04.2025,171,0,1,79,92,0.4619883040935672,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_166.npy,False,0.6226841,50_Or_019_35.652627__-0.592862_06.2020,172,0,1,79,93,0.45930232558139533,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_178.npy,False,0.6202371,50_Or_019_35.652627__-0.592862_06.2020,173,0,1,79,94,0.45664739884393063,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_163.npy,False,0.6188279,50_Or_019_35.652627__-0.592862_06.2020,174,0,1,79,95,0.4540229885057471,15,8,0.6521739130434783
50_Or_025_35.651734__-0.595641_06.2020_MediumStandard_584.npy,False,0.61466175,50_Or_025_35.651734__-0.595641_06.2020,175,0,1,79,96,0.4514285714285714,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_168.npy,False,0.6061109,50_Or_019_35.652627__-0.592862_06.2020,176,0,1,79,97,0.44886363636363635,15,8,0.6521739130434783
50_Or_035__35.649109__-0.611845_03.2021_MediumStandard_485.npy,False,0.60244167,50_Or_035__35.649109__-0.611845_03.2021,177,0,1,79,98,0.4463276836158192,15,9,0.625
50_Or_015_35.653454__-0.602122_03.2021_MediumSmall_234.npy,False,0.59800017,50_Or_015_35.653454__-0.602122_03.2021,178,0,1,79,99,0.4438202247191011,15,9,0.625
50_Or_005_35.658681__-0.534745_03.2021_CementMixerTrucks_59.npy,False,0.5955126,50_Or_005_35.658681__-0.534745_03.2021,179,0,1,79,100,0.441340782122905,15,10,0.6
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_545.npy,False,0.593569,50_Or_098__35.913750__0.147933__11.2021,180,0,1,79,101,0.4388888888888889,15,10,0.6
50_Or_078__35.819171__-0.468544_06.2022_MediumStandard_333.npy,False,0.5929272,50_Or_078__35.819171__-0.468544_06.2022,181,0,1,79,102,0.43646408839779005,15,10,0.6
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_37.npy,False,0.5911179,50_Or_047__35.675778__-0.670871_03.2025,182,0,1,79,103,0.4340659340659341,15,10,0.6
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_541.npy,False,0.58980453,50_Or_098__35.913750__0.147933__11.2021,183,0,1,79,104,0.43169398907103823,15,10,0.6
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_643.npy,False,0.5866969,50_Or_019_35.652627__-0.592862_06.2020,184,0,1,79,105,0.42934782608695654,15,10,0.6
50_Or_035__35.649109__-0.611845_03.2021_MediumStandard_486.npy,False,0.58577216,50_Or_035__35.649109__-0.611845_03.2021,185,0,1,79,106,0.42702702702702705,15,10,0.6
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_642.npy,False,0.5851885,50_Or_019_35.652627__-0.592862_06.2020,186,0,1,79,107,0.42473118279569894,15,10,0.6
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_313.npy,False,0.5834869,50_Or_052__35.710191__-0.636511_06.2020,187,0,1,79,108,0.42245989304812837,15,10,0.6
50_Or_025_35.651734__-0.595641_06.2020_Other_126.npy,False,0.5792984,50_Or_025_35.651734__-0.595641_06.2020,188,0,1,79,109,0.42021276595744683,15,10,0.6
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_542.npy,False,0.5792189,50_Or_098__35.913750__0.147933__11.2021,189,0,1,79,110,0.41798941798941797,15,10,0.6
50_Or_006_35.658681__-0.534745_01.2022_MediumStandard_155.npy,False,0.57728076,50_Or_006_35.658681__-0.534745_01.2022,190,0,1,79,111,0.41578947368421054,15,10,0.6
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_169.npy,False,0.576705,50_Or_019_35.652627__-0.592862_06.2020,191,0,1,79,112,0.41361256544502617,15,10,0.6
50_Or_004_35.654030__-0.565647_01.2022_Small_1772.npy,False,0.5759515,50_Or_004_35.654030__-0.565647_01.2022,192,0,1,79,113,0.4114583333333333,15,10,0.6
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_316.npy,False,0.5755577,50_Or_052__35.710191__-0.636511_06.2020,193,0,1,79,114,0.40932642487046633,15,10,0.6
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_637.npy,False,0.57442725,50_Or_019_35.652627__-0.592862_06.2020,194,0,1,79,115,0.4072164948453608,15,10,0.6
50_Or_006_35.658681__-0.534745_01.2022_MediumStandard_145.npy,False,0.5732037,50_Or_006_35.658681__-0.534745_01.2022,195,0,1,79,116,0.40512820512820513,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_461.npy,False,0.56749785,50_Or_020_35.652627__-0.592862_03.2021,196,0,1,79,117,0.4030612244897959,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_227.npy,False,0.56749785,50_Or_021_35.652627__-0.592862_06.2022,197,0,1,79,118,0.4010152284263959,15,10,0.6
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_310.npy,False,0.5632637,50_Or_052__35.710191__-0.636511_06.2020,198,0,1,79,119,0.398989898989899,15,10,0.6
50_Or_096__34.700833__3.307971__03.2025_MediumStandard_347.npy,False,0.56301606,50_Or_096__34.700833__3.307971__03.2025,199,0,1,79,120,0.3969849246231156,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_245.npy,False,0.5598409,50_Or_021_35.652627__-0.592862_06.2022,200,0,1,79,121,0.395,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_467.npy,False,0.5598409,50_Or_020_35.652627__-0.592862_03.2021,201,0,1,79,122,0.39303482587064675,15,10,0.6
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_38.npy,False,0.5522576,50_Or_047__35.675778__-0.670871_03.2025,202,0,1,79,123,0.3910891089108911,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_472.npy,False,0.55218476,50_Or_020_35.652627__-0.592862_03.2021,203,0,1,79,124,0.3891625615763547,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_241.npy,False,0.55218476,50_Or_021_35.652627__-0.592862_06.2022,204,0,1,79,125,0.3872549019607843,15,10,0.6
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_301.npy,False,0.5514624,50_Or_052__35.710191__-0.636511_06.2020,205,0,1,79,126,0.3853658536585366,15,10,0.6
50_Or_018_35.651252__-0.604357_04.2025_MediumStandard_263.npy,False,0.54892975,50_Or_018_35.651252__-0.604357_04.2025,206,0,1,79,127,0.38349514563106796,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_228.npy,False,0.5465907,50_Or_021_35.652627__-0.592862_06.2022,207,0,1,79,128,0.38164251207729466,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_459.npy,False,0.5465907,50_Or_020_35.652627__-0.592862_03.2021,208,0,1,79,129,0.3798076923076923,15,10,0.6
50_Or_018_35.651252__-0.604357_04.2025_MediumStandard_262.npy,False,0.5434195,50_Or_018_35.651252__-0.604357_04.2025,209,0,1,79,130,0.37799043062200954,15,10,0.6
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_538.npy,False,0.5386926,50_Or_098__35.913750__0.147933__11.2021,210,0,1,79,131,0.3761904761904762,15,10,0.6
50_Or_096__34.700833__3.307971__03.2025_MediumStandard_349.npy,False,0.53777874,50_Or_096__34.700833__3.307971__03.2025,211,0,1,79,132,0.3744075829383886,15,10,0.6
50_Or_035__35.649109__-0.611845_03.2021_MediumStandard_488.npy,False,0.5374164,50_Or_035__35.649109__-0.611845_03.2021,212,0,1,79,133,0.37264150943396224,15,10,0.6
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_632.npy,False,0.53373766,50_Or_019_35.652627__-0.592862_06.2020,213,0,1,79,134,0.37089201877934275,15,10,0.6
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_35.npy,False,0.5329042,50_Or_047__35.675778__-0.670871_03.2025,214,0,1,79,135,0.3691588785046729,15,10,0.6
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_311.npy,False,0.5292574,50_Or_052__35.710191__-0.636511_06.2020,215,0,1,79,136,0.3674418604651163,15,10,0.6
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_534.npy,False,0.52660066,50_Or_098__35.913750__0.147933__11.2021,216,0,1,79,137,0.36574074074074076,15,10,0.6
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_635.npy,False,0.523182,50_Or_019_35.652627__-0.592862_06.2020,217,0,1,79,138,0.3640552995391705,15,10,0.6
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_543.npy,False,0.5197297,50_Or_098__35.913750__0.147933__11.2021,218,0,1,79,139,0.3623853211009174,15,10,0.6
50_Or_015_35.653454__-0.602122_03.2021_Small_1761.npy,False,0.51718277,50_Or_015_35.653454__-0.602122_03.2021,219,0,1,79,140,0.3607305936073059,15,10,0.6
50_Or_079__35.819171__-0.468544_03.2025_MediumStandard_85.npy,False,0.5170151,50_Or_079__35.819171__-0.468544_03.2025,220,0,1,79,141,0.35909090909090907,15,10,0.6
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_314.npy,False,0.5157421,50_Or_052__35.710191__-0.636511_06.2020,221,0,1,79,142,0.3574660633484163,15,10,0.6
50_Or_047__35.675778__-0.670871_03.2025_MediumStandard_179.npy,False,0.5155786,50_Or_047__35.675778__-0.670871_03.2025,222,0,1,79,143,0.35585585585585583,15,10,0.6
50_Or_078__35.819171__-0.468544_06.2022_MediumStandard_331.npy,False,0.5137527,50_Or_078__35.819171__-0.468544_06.2022,223,0,1,79,144,0.3542600896860987,15,10,0.6
50_Or_005_35.658681__-0.534745_03.2021_MediumStandard_285.npy,False,0.51043046,50_Or_005_35.658681__-0.534745_03.2021,224,0,1,79,145,0.35267857142857145,15,10,0.6
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_43.npy,False,0.50894713,50_Or_047__35.675778__-0.670871_03.2025,225,0,1,79,146,0.3511111111111111,15,10,0.6
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_536.npy,False,0.5073997,50_Or_098__35.913750__0.147933__11.2021,226,0,1,79,147,0.3495575221238938,15,10,0.6
50_Or_078__35.819171__-0.468544_06.2022_MediumStandard_328.npy,False,0.5068999,50_Or_078__35.819171__-0.468544_06.2022,227,0,1,79,148,0.34801762114537443,15,10,0.6
50_Or_045__35.678830__-0.621677_03.2025_Small_570.npy,False,0.50539124,50_Or_045__35.678830__-0.621677_03.2025,228,0,1,79,149,0.34649122807017546,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_239.npy,False,0.50203973,50_Or_021_35.652627__-0.592862_06.2022,229,0,1,79,150,0.34497816593886466,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_474.npy,False,0.50203973,50_Or_020_35.652627__-0.592862_03.2021,230,0,1,79,151,0.34347826086956523,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_468.npy,False,0.49733028,50_Or_020_35.652627__-0.592862_03.2021,231,0,1,79,152,0.341991341991342,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_223.npy,False,0.49710748,50_Or_021_35.652627__-0.592862_06.2022,232,0,1,79,153,0.34051724137931033,15,10,0.6
50_Or_045__35.678830__-0.621677_03.2025_MediumSmall_160.npy,False,0.49542618,50_Or_045__35.678830__-0.621677_03.2025,233,0,1,79,154,0.33905579399141633,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_226.npy,False,0.49259645,50_Or_021_35.652627__-0.592862_06.2022,234,0,1,79,155,0.33760683760683763,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_462.npy,False,0.49259645,50_Or_020_35.652627__-0.592862_03.2021,235,0,1,79,156,0.33617021276595743,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_460.npy,False,0.4913093,50_Or_020_35.652627__-0.592862_03.2021,236,0,1,79,157,0.3347457627118644,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_234.npy,False,0.4913093,50_Or_021_35.652627__-0.592862_06.2022,237,0,1,79,158,0.3333333333333333,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_470.npy,False,0.4908191,50_Or_020_35.652627__-0.592862_03.2021,238,0,1,79,159,0.3319327731092437,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_243.npy,False,0.4908191,50_Or_021_35.652627__-0.592862_06.2022,239,0,1,79,160,0.3305439330543933,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_242.npy,False,0.4907422,50_Or_021_35.652627__-0.592862_06.2022,240,0,1,79,161,0.32916666666666666,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_471.npy,False,0.4907422,50_Or_020_35.652627__-0.592862_03.2021,241,0,1,79,162,0.3278008298755187,15,10,0.6
50_Or_006_35.658681__-0.534745_01.2022_MediumStandard_152.npy,False,0.48344606,50_Or_006_35.658681__-0.534745_01.2022,242,0,1,79,163,0.32644628099173556,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_230.npy,False,0.48291445,50_Or_021_35.652627__-0.592862_06.2022,243,0,1,79,164,0.32510288065843623,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_457.npy,False,0.48291445,50_Or_020_35.652627__-0.592862_03.2021,244,0,1,79,165,0.3237704918032787,15,10,0.6
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_526.npy,False,0.48120892,50_Or_098__35.913750__0.147933__11.2021,245,0,1,79,166,0.3224489795918367,15,10,0.6
50_Or_006_35.658681__-0.534745_01.2022_MediumStandard_147.npy,False,0.48031572,50_Or_006_35.658681__-0.534745_01.2022,246,0,1,79,167,0.32113821138211385,15,10,0.6
50_Or_025_35.651734__-0.595641_06.2020_CementMixerTrucks_94.npy,False,0.4802816,50_Or_025_35.651734__-0.595641_06.2020,247,0,1,79,168,0.31983805668016196,15,10,0.6
50_Or_031_35.641030__-0.594670_03.2021_CementMixerTrucks_66.npy,False,0.47956362,50_Or_031_35.641030__-0.594670_03.2021,248,0,1,79,169,0.3185483870967742,15,10,0.6
50_Or_047__35.675778__-0.670871_03.2025_MediumStandard_180.npy,False,0.47727007,50_Or_047__35.675778__-0.670871_03.2025,249,0,1,79,170,0.3172690763052209,15,10,0.6
50_Or_069__35.715136__-0.480888_01.2022_TruckTractor_277.npy,False,0.47248936,50_Or_069__35.715136__-0.480888_01.2022,250,0,1,79,171,0.316,15,10,0.6
50_Or_035__35.649109__-0.611845_03.2021_MediumStandard_482.npy,False,0.4724822,50_Or_035__35.649109__-0.611845_03.2021,251,0,1,79,172,0.3147410358565737,15,10,0.6
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_537.npy,False,0.47234213,50_Or_098__35.913750__0.147933__11.2021,252,0,1,79,173,0.3134920634920635,15,10,0.6
50_Or_069__35.715136__-0.480888_01.2022_MediumStandard_518.npy,False,0.46723974,50_Or_069__35.715136__-0.480888_01.2022,253,0,1,79,174,0.31225296442687744,15,10,0.6
50_Or_019_35.652627__-0.592862_06.2020_MediumSmall_382.npy,False,0.46426237,50_Or_019_35.652627__-0.592862_06.2020,254,0,1,79,175,0.3110236220472441,15,10,0.6
50_Or_035__35.649109__-0.611845_03.2021_MediumStandard_481.npy,False,0.46245974,50_Or_035__35.649109__-0.611845_03.2021,255,0,1,79,176,0.30980392156862746,15,10,0.6
50_Or_018_35.651252__-0.604357_04.2025_MediumStandard_266.npy,False,0.4618841,50_Or_018_35.651252__-0.604357_04.2025,256,0,1,79,177,0.30859375,15,10,0.6
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_648.npy,False,0.4615634,50_Or_019_35.652627__-0.592862_06.2020,257,0,1,79,178,0.30739299610894943,15,10,0.6
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_633.npy,False,0.46021867,50_Or_019_35.652627__-0.592862_06.2020,258,0,1,79,179,0.3062015503875969,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_465.npy,False,0.4600047,50_Or_020_35.652627__-0.592862_03.2021,259,0,1,79,180,0.305019305019305,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_236.npy,False,0.4600047,50_Or_021_35.652627__-0.592862_06.2022,260,0,1,79,181,0.3038461538461538,15,10,0.6
50_Or_018_35.651252__-0.604357_04.2025_MediumStandard_258.npy,False,0.45994523,50_Or_018_35.651252__-0.604357_04.2025,261,0,1,79,182,0.30268199233716475,15,10,0.6
50_Or_096__34.700833__3.307971__03.2025_Other_89.npy,False,0.45824444,50_Or_096__34.700833__3.307971__03.2025,262,0,1,79,183,0.3015267175572519,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_475.npy,False,0.4578678,50_Or_020_35.652627__-0.592862_03.2021,263,0,1,79,184,0.30038022813688214,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_238.npy,False,0.4578678,50_Or_021_35.652627__-0.592862_06.2022,264,0,1,79,185,0.29924242424242425,15,10,0.6
50_Or_096__34.700833__3.307971__03.2025_MediumStandard_343.npy,False,0.45762497,50_Or_096__34.700833__3.307971__03.2025,265,0,1,79,186,0.2981132075471698,15,10,0.6
50_Or_035__35.649109__-0.611845_03.2021_MediumStandard_483.npy,False,0.45729685,50_Or_035__35.649109__-0.611845_03.2021,266,0,1,79,187,0.29699248120300753,15,10,0.6
50_Or_078__35.819171__-0.468544_06.2022_MediumStandard_326.npy,False,0.45707273,50_Or_078__35.819171__-0.468544_06.2022,267,0,1,79,188,0.2958801498127341,15,10,0.6
50_Or_019_35.652627__-0.592862_06.2020_MediumSmall_383.npy,False,0.4544487,50_Or_019_35.652627__-0.592862_06.2020,268,0,1,79,189,0.2947761194029851,15,10,0.6
50_Or_096__34.700833__3.307971__03.2025_HeavyDuty_118.npy,False,0.45399734,50_Or_096__34.700833__3.307971__03.2025,269,0,1,79,190,0.2936802973977695,15,10,0.6
50_Or_045__35.678830__-0.621677_03.2025_MediumStandard_219.npy,False,0.45166135,50_Or_045__35.678830__-0.621677_03.2025,270,0,1,79,191,0.29259259259259257,15,10,0.6
50_Or_071__35.715136__-0.480888_04.2023_TruckTractor_263.npy,False,0.4476845,50_Or_071__35.715136__-0.480888_04.2023,271,0,1,79,192,0.2915129151291513,15,10,0.6
50_Or_031_35.641030__-0.594670_03.2021_CementMixerTrucks_68.npy,False,0.44584984,50_Or_031_35.641030__-0.594670_03.2021,272,0,1,79,193,0.29044117647058826,15,10,0.6
50_Or_035__35.649109__-0.611845_03.2021_MediumStandard_487.npy,False,0.44531494,50_Or_035__35.649109__-0.611845_03.2021,273,0,1,79,194,0.2893772893772894,15,10,0.6
50_Or_018_35.651252__-0.604357_04.2025_MediumStandard_271.npy,False,0.44326264,50_Or_018_35.651252__-0.604357_04.2025,274,0,1,79,195,0.28832116788321166,15,10,0.6
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_170.npy,False,0.4392763,50_Or_019_35.652627__-0.592862_06.2020,275,0,1,79,196,0.2872727272727273,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_469.npy,False,0.4387653,50_Or_020_35.652627__-0.592862_03.2021,276,0,1,79,197,0.286231884057971,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_224.npy,False,0.4387653,50_Or_021_35.652627__-0.592862_06.2022,277,0,1,79,198,0.2851985559566787,15,10,0.6
50_Or_025_35.651734__-0.595641_06.2020_MediumSmall_298.npy,False,0.43571135,50_Or_025_35.651734__-0.595641_06.2020,278,0,1,79,199,0.2841726618705036,15,10,0.6
50_Or_020_35.652627__-0.592862_03.2021_MediumStandard_454.npy,False,0.43420303,50_Or_020_35.652627__-0.592862_03.2021,279,0,1,79,200,0.2831541218637993,15,10,0.6
50_Or_021_35.652627__-0.592862_06.2022_MediumStandard_244.npy,False,0.43420303,50_Or_021_35.652627__-0.592862_06.2022,280,0,1,79,201,0.28214285714285714,15,10,0.6
50_Or_015_35.653454__-0.602122_03.2021_MediumSmall_233.npy,False,0.43415296,50_Or_015_35.653454__-0.602122_03.2021,281,0,1,79,202,0.28113879003558717,15,10,0.6
50_Or_006_35.658681__-0.534745_01.2022_MediumStandard_149.npy,False,0.4320913,50_Or_006_35.658681__-0.534745_01.2022,282,0,1,79,203,0.2801418439716312,15,10,0.6
50_Or_079__35.819171__-0.468544_03.2025_MediumStandard_82.npy,False,0.42906946,50_Or_079__35.819171__-0.468544_03.2025,283,0,1,79,204,0.2791519434628975,15,10,0.6
50_Or_045__35.678830__-0.621677_03.2025_MediumStandard_220.npy,False,0.42399025,50_Or_045__35.678830__-0.621677_03.2025,284,0,1,79,205,0.27816901408450706,15,10,0.6
50_Or_079__35.819171__-0.468544_03.2025_MediumStandard_80.npy,False,0.42332566,50_Or_079__35.819171__-0.468544_03.2025,285,0,1,79,206,0.2771929824561403,15,10,0.6
50_Or_047__35.675778__-0.670871_03.2025_MediumStandard_184.npy,False,0.4228524,50_Or_047__35.675778__-0.670871_03.2025,286,0,1,79,207,0.2762237762237762,15,10,0.6
50_Or_025_35.651734__-0.595641_06.2020_MediumStandard_583.npy,False,0.41952842,50_Or_025_35.651734__-0.595641_06.2020,287,0,1,79,208,0.27526132404181186,15,10,0.6
50_Or_069__35.715136__-0.480888_01.2022_MediumStandard_519.npy,False,0.41929504,50_Or_069__35.715136__-0.480888_01.2022,288,0,1,79,209,0.2743055555555556,15,10,0.6
50_Or_077__35.819171__-0.468544_01.2022_MediumStandard_336.npy,False,0.4191864,50_Or_077__35.819171__-0.468544_01.2022,289,0,1,79,210,0.27335640138408307,15,10,0.6
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_546.npy,False,0.41775915,50_Or_098__35.913750__0.147933__11.2021,290,0,1,79,211,0.27241379310344827,15,10,0.6
50_Or_096__34.700833__3.307971__03.2025_MediumStandard_345.npy,False,0.41763502,50_Or_096__34.700833__3.307971__03.2025,291,0,1,79,212,0.27147766323024053,15,10,0.6
